,data_base,ocupacao,modalidade,carteira_ativa,carteira_ativa_deflacionada
146,2013-04-30,MEI,Outros créditos,8637.67,15227.303241541
147,2013-04-30,MEI,Veículos,31480.55,55496.896855343344
137,2013-04-30,Empresário,Empréstimo com consignação em folha,5414076267.8,9544446720.310123
138,2013-04-30,Empresário,Empréstimo sem consignação em folha,13961132275.38,24612007028.802505
139,2013-04-30,Empresário,Habitacional,37267273601.28,65698281609.75891
140,2013-04-30,Empresário,Outros créditos,21355312746.64,37647169087.38503
136,2013-04-30,Empresário,Cartão de crédito,15114330103.83,26644973445.821766
142,2013-04-30,Empresário,Veículos,24312124998.7,42859717933.36102
143,2013-04-30,MEI,Cartão de crédito,7492.33,13208.189349175747
144,2013-04-30,MEI,Empréstimo com consignação em folha,35392.9,62393.95819677488
145,2013-04-30,MEI,Empréstimo sem consignação em folha,8783.060000000001,15483.61051170618
141,2013-04-30,Empresário,Rural e agroindustrial,49826882870.81,87839551065.80464
135,2013-04-30,Empregado de entidades sem fins lucrativos,Veículos,185160917.07,326419211.7442221
81,2013-05-31,Empregado de entidades sem fins lucrativos,Veículos,183654401.60999998,321992277.8188075
90,2013-05-31,MEI,Empréstimo com consignação em folha,36428.56,63868.412132957084
82,2013-05-31,Empresário,Cartão de crédito,15625673307.53,27395728589.334106
83,2013-05-31,Empresário,Empréstimo com consignação em folha,5574632586.47,9773730598.25803
84,2013-05-31,Empresário,Empréstimo sem consignação em folha,13958161024.19,24472160879.02309
85,2013-05-31,Empresário,Habitacional,38375231957.47,67281416843.19994
86,2013-05-31,Empresário,Outros créditos,21709545402.78,38062283905.92153
87,2013-05-31,Empresário,Rural e agroindustrial,51053217785.94,89509109178.78806
88,2013-05-31,Empresário,Veículos,24150482549.25,42341859592.17952
89,2013-05-31,MEI,Cartão de crédito,10524.17,18451.512409969073
96,2013-05-31,Outros,Empréstimo sem consignação em folha,32655840889.84,57253888281.62775
92,2013-05-31,MEI,Outros créditos,7728.860000000001,13550.63213582768
93,2013-05-31,MEI,Veículos,31312.07,54897.9205188457
94,2013-05-31,Outros,Cartão de crédito,45290439872.37,79405512582.74936
95,2013-05-31,Outros,Empréstimo com consignação em folha,82059824265.4,143871475450.597
97,2013-05-31,Outros,Habitacional,105476457185.49,184926712388.49625
98,2013-05-31,Outros,Outros créditos,34520952621.35,60523897437.688095
99,2013-05-31,Outros,Rural e agroindustrial,51908154900.26,91008028597.10023
100,2013-05-31,Outros,Veículos,103289337935.86,181092143203.78806
101,2013-05-31,Servidor ou empregado público,Cartão de crédito,15790715163.73,27685088401.82655
102,2013-05-31,Servidor ou empregado público,Empréstimo com consignação em folha,68023062384.33,119261507534.42462
103,2013-05-31,Servidor ou empregado público,Empréstimo sem consignação em folha,14762864819.34,25883008676.28971
91,2013-05-31,MEI,Empréstimo sem consignação em folha,8511.76,14923.25240571735
79,2013-05-31,Empregado de entidades sem fins lucrativos,Outros créditos,92761226.5,162633720.46714392
66,2013-05-31,Autônomo,Rural e agroindustrial,20743595089.38,36368730476.51916
77,2013-05-31,Empregado de entidades sem fins lucrativos,Empréstimo sem consignação em folha,92061844.34,161407527.94036502
104,2013-05-31,Servidor ou empregado público,Habitacional,45396744361.9,79591891043.73946
54,2013-05-31,Aposentado/pensionista,Cartão de crédito,6520978316.059999,11432912269.938658
55,2013-05-31,Aposentado/pensionista,Empréstimo com consignação em folha,27414878678.19,48065165628.11313
56,2013-05-31,Aposentado/pensionista,Empréstimo sem consignação em folha,7556878242.72,13249104934.277323
57,2013-05-31,Aposentado/pensionista,Habitacional,4154774627.72,7284363099.7979145
58,2013-05-31,Aposentado/pensionista,Outros créditos,3862393002.9700003,6771744700.672707
59,2013-05-31,Aposentado/pensionista,Rural e agroindustrial,2297069078.36,4027338840.584651
60,2013-05-31,Aposentado/pensionista,Veículos,7795472984.34,13667421422.509155
61,2013-05-31,Autônomo,Cartão de crédito,8346344114.05,14633236825.162071
62,2013-05-31,Autônomo,Empréstimo com consignação em folha,4016212852.82,7041429518.421455
63,2013-05-31,Autônomo,Empréstimo sem consignação em folha,7219996004.99,12658465787.420776
64,2013-05-31,Autônomo,Habitacional,21491905256.51,37680706084.60086
65,2013-05-31,Autônomo,Outros créditos,9998591896.39,17530042032.621696
67,2013-05-31,Autônomo,Veículos,16282512162.08,28547332019.92095
68,2013-05-31,Empregado de empresa privada,Cartão de crédito,15914514955.25,27902140519.911194
69,2013-05-31,Empregado de empresa privada,Empréstimo com consignação em folha,12767178643.91,22384069735.513348
70,2013-05-31,Empregado de empresa privada,Empréstimo sem consignação em folha,10589105035.82,18565359831.597054
71,2013-05-31,Empregado de empresa privada,Habitacional,63988077207.549995,112187165418.76158
72,2013-05-31,Empregado de empresa privada,Outros créditos,12221530422.22,21427411401.98295
73,2013-05-31,Empregado de empresa privada,Rural e agroindustrial,3753667808.8199997,6581122136.695211
74,2013-05-31,Empregado de empresa privada,Veículos,27217248729.65,47718670707.557175
75,2013-05-31,Empregado de entidades sem fins lucrativos,Cartão de crédito,128019964.52,224451140.95121807
76,2013-05-31,Empregado de entidades sem fins lucrativos,Empréstimo com consignação em folha,120594199.4,211431910.2408442
78,2013-05-31,Empregado de entidades sem fins lucrativos,Habitacional,429035628.95,752207179.4630656
105,2013-05-31,Servidor ou empregado público,Outros créditos,8872206549.78,15555205708.105682
80,2013-05-31,Empregado de entidades sem fins lucrativos,Rural e agroindustrial,116192690.96,203714960.81839627
107,2013-05-31,Servidor ou empregado público,Veículos,22491515060.04,39433273051.39829
106,2013-05-31,Servidor ou empregado público,Rural e agroindustrial,3422806451.9900002,6001039105.774204
268,2013-06-30,Servidor ou empregado público,Rural e agroindustrial,3596251981.93,6281894242.661966
238,2013-06-30,Empregado de entidades sem fins lucrativos,Empréstimo com consignação em folha,118890002.9,207675777.02571338
237,2013-06-30,Empregado de entidades sem fins lucrativos,Cartão de crédito,125368426.97,218992218.44064865
236,2013-06-30,Empregado de empresa privada,Veículos,27065155139.13,47277121597.58306
235,2013-06-30,Empregado de empresa privada,Rural e agroindustrial,3962570498.25,6921775482.96819
234,2013-06-30,Empregado de empresa privada,Outros créditos,12089244702.44,21117362486.27189
233,2013-06-30,Empregado de empresa privada,Habitacional,65579329886.83,114553267380.50748
232,2013-06-30,Empregado de empresa privada,Empréstimo sem consignação em folha,10447979928.43,18250418849.857372
231,2013-06-30,Empregado de empresa privada,Empréstimo com consignação em folha,12677102566.03,22144226273.16586
230,2013-06-30,Empregado de empresa privada,Cartão de crédito,15533468654.4,27133695803.005844
229,2013-06-30,Autônomo,Veículos,16174306359.39,28253104206.44506
228,2013-06-30,Autônomo,Rural e agroindustrial,21524331152.39,37598469913.32996
226,2013-06-30,Autônomo,Habitacional,22100897803.81,38605610332.37324
239,2013-06-30,Empregado de entidades sem fins lucrativos,Empréstimo sem consignação em folha,90428727.92,157959928.3215496
225,2013-06-30,Autônomo,Empréstimo sem consignação em folha,7095847085.5,12394949290.86974
224,2013-06-30,Autônomo,Empréstimo com consignação em folha,3961874123.41,6920559062.895261
223,2013-06-30,Autônomo,Cartão de crédito,8169477384.57,14270355137.947157
222,2013-06-30,Aposentado/pensionista,Veículos,7714578495.07,13475742655.478737
221,2013-06-30,Aposentado/pensionista,Rural e agroindustrial,2380331001.29,4157936565.003609
220,2013-06-30,Aposentado/pensionista,Outros créditos,3751054366.03,6552301380.513928
219,2013-06-30,Aposentado/pensionista,Habitacional,4208084020.65,7350635860.552888
218,2013-06-30,Aposentado/pensionista,Empréstimo sem consignação em folha,7430615247.04,12979718711.136017
217,2013-06-30,Aposentado/pensionista,Empréstimo com consignação em folha,27154893827.65,47433876172.51006
216,2013-06-30,Aposentado/pensionista,Cartão de crédito,6396860218.85,11173966557.911058
267,2013-06-30,Servidor ou empregado público,Outros créditos,8642392382.32,15096437964.334612
240,2013-06-30,Empregado de entidades sem fins lucrativos,Habitacional,440843129.1,770060031.5343199
227,2013-06-30,Autônomo,Outros créditos,9981974018.32,17436404743.37215
242,2013-06-30,Empregado de entidades sem fins lucrativos,Rural e agroindustrial,121519408.26,212268793.99882993
241,2013-06-30,Empregado de entidades sem fins lucrativos,Outros créditos,89679509.07,156651200.90090233
269,2013-06-30,Servidor ou empregado público,Veículos,22353128411.13,39046204041.57609
266,2013-06-30,Servidor ou empregado público,Habitacional,46499930088.49,81225577232.85672
265,2013-06-30,Servidor ou empregado público,Empréstimo sem consignação em folha,14592196909.52,25489492453.33713
264,2013-06-30,Servidor ou empregado público,Empréstimo com consignação em folha,66633045493.13,116393886456.6676
263,2013-06-30,Servidor ou empregado público,Cartão de crédito,15619350659.18,27283713564.29915
262,2013-06-30,Outros,Veículos,103102878276.51,180098997706.91113
260,2013-06-30,Outros,Outros créditos,34584838248.29,60412423091.31307
259,2013-06-30,Outros,Habitacional,109521252966.36,191310545511.1275
258,2013-06-30,Outros,Empréstimo sem consignação em folha,32298601910.28,56418850071.04823
257,2013-06-30,Outros,Empréstimo com consignação em folha,80071348364.76,139867769228.12335
256,2013-06-30,Outros,Cartão de crédito,45043118975.090004,78680835264.85869
261,2013-06-30,Outros,Rural e agroindustrial,53510116243.25,93470894932.18602
254,2013-06-30,MEI,Outros créditos,6736.8099999999995,11767.787175523705
255,2013-06-30,MEI,Veículos,30799.14,53799.60615026388
244,2013-06-30,Empresário,Cartão de crédito,15223289063.72,26591877433.582733
245,2013-06-30,Empresário,Empréstimo com consignação em folha,5495106021.8,9598792035.322523
246,2013-06-30,Empresário,Empréstimo sem consignação em folha,13940753064.61,24351557358.877625
247,2013-06-30,Empresário,Habitacional,39447264906.97,68906057626.93736
248,2013-06-30,Empresário,Outros créditos,21892219361.98,38241093076.93998
243,2013-06-30,Empregado de entidades sem fins lucrativos,Veículos,182370870.26,318563472.6576415
250,2013-06-30,Empresário,Veículos,23954042655.16,41842663806.65919
251,2013-06-30,MEI,Cartão de crédito,13493.74,23570.719750423606
252,2013-06-30,MEI,Empréstimo com consignação em folha,35369.47,61783.00938739113
253,2013-06-30,MEI,Empréstimo sem consignação em folha,6629.16,11579.7453145472
249,2013-06-30,Empresário,Rural e agroindustrial,53335935971.79,93166638709.3274
362,2013-07-31,MEI,Outros créditos,10346.22,18025.780813311372
361,2013-07-31,MEI,Empréstimo sem consignação em folha,6273.040000000001,10929.251849770717
360,2013-07-31,MEI,Empréstimo com consignação em folha,36443.25,63493.53064449719
359,2013-07-31,MEI,Cartão de crédito,12325.31,21473.865480930697
358,2013-07-31,Empresário,Veículos,24114349266.27,42013409180.3015
355,2013-07-31,Empresário,Habitacional,40400563049.549995,70388189528.69305
356,2013-07-31,Empresário,Outros créditos,21653184460.27,37725426000.12632
354,2013-07-31,Empresário,Empréstimo sem consignação em folha,14096367510.39,24559503954.697838
353,2013-07-31,Empresário,Empréstimo com consignação em folha,5806971752.13,10117240885.365484
352,2013-07-31,Empresário,Cartão de crédito,16103771432.93,28056918770.10748
357,2013-07-31,Empresário,Rural e agroindustrial,52727207110.59,91864379287.65947
363,2013-07-31,MEI,Veículos,30278.56,52753.052409739714
377,2013-07-31,Servidor ou empregado público,Veículos,22584739242.32,39348434433.8176
365,2013-07-31,Outros,Empréstimo com consignação em folha,84982524592.86,148061452518.18903
366,2013-07-31,Outros,Empréstimo sem consignação em folha,33196528730.89,57836905716.85279
367,2013-07-31,Outros,Habitacional,113678135223.34,198056599299.2511
368,2013-07-31,Outros,Outros créditos,34047249520.36,59319080509.60932
369,2013-07-31,Outros,Rural e agroindustrial,52824730731.7,92034290561.36612
370,2013-07-31,Outros,Veículos,104004781663.63,181203125180.49106
371,2013-07-31,Servidor ou empregado público,Cartão de crédito,16415105873.710001,28599343577.344822
372,2013-07-31,Servidor ou empregado público,Empréstimo com consignação em folha,69860187253.34,121714444792.93846
373,2013-07-31,Servidor ou empregado público,Empréstimo sem consignação em folha,14583436245.84,25408103178.978634
374,2013-07-31,Servidor ou empregado público,Habitacional,47461104289.14,82689471427.60834
375,2013-07-31,Servidor ou empregado público,Outros créditos,8241001547.9,14357947886.726276
376,2013-07-31,Servidor ou empregado público,Rural e agroindustrial,3587880480.3,6251012168.912524
364,2013-07-31,Outros,Cartão de crédito,47113281346.99,82083474250.1815
351,2013-07-31,Empregado de entidades sem fins lucrativos,Veículos,183883944.47,320373206.6497078
349,2013-07-31,Empregado de entidades sem fins lucrativos,Outros créditos,85889309.48,149641305.41329554
348,2013-07-31,Empregado de entidades sem fins lucrativos,Habitacional,453309541.63,789782011.0151366
350,2013-07-31,Empregado de entidades sem fins lucrativos,Rural e agroindustrial,118000271.36,205586873.99326745
324,2013-07-31,Aposentado/pensionista,Cartão de crédito,6621401329.76,11536187037.122952
325,2013-07-31,Aposentado/pensionista,Empréstimo com consignação em folha,27682192564.01,48229511414.86671
326,2013-07-31,Aposentado/pensionista,Empréstimo sem consignação em folha,7398410900.83,12889937896.659372
327,2013-07-31,Aposentado/pensionista,Habitacional,4255111994.98,7413501371.283576
328,2013-07-31,Aposentado/pensionista,Outros créditos,3579416057.07,6236264962.893797
329,2013-07-31,Aposentado/pensionista,Rural e agroindustrial,2358911051.87,4109830796.0884643
331,2013-07-31,Autônomo,Cartão de crédito,8657473984.73,15083550170.563585
332,2013-07-31,Autônomo,Empréstimo com consignação em folha,4178683862.89,7280343874.436887
333,2013-07-31,Autônomo,Empréstimo sem consignação em folha,7236322694.74,12607538481.665182
334,2013-07-31,Autônomo,Habitacional,22705739492.49,39559248043.80466
335,2013-07-31,Autônomo,Outros créditos,9762713393.53,17009161971.710543
330,2013-07-31,Aposentado/pensionista,Veículos,7752335542.43,13506565806.554134
337,2013-07-31,Autônomo,Veículos,16302368500.65,28402926028.109634
338,2013-07-31,Empregado de empresa privada,Cartão de crédito,16550052096.14,28834454664.01295
339,2013-07-31,Empregado de empresa privada,Empréstimo com consignação em folha,13150450400.44,22911472645.53182
340,2013-07-31,Empregado de empresa privada,Empréstimo sem consignação em folha,10671081770.08,18591773713.335384
347,2013-07-31,Empregado de entidades sem fins lucrativos,Empréstimo sem consignação em folha,91283191.81,159038838.09802225
341,2013-07-31,Empregado de empresa privada,Habitacional,66979476560.2,116695504586.65019
342,2013-07-31,Empregado de empresa privada,Outros créditos,11745983910.32,20464530176.63556
343,2013-07-31,Empregado de empresa privada,Rural e agroindustrial,3927129211.23,6842070861.356549
344,2013-07-31,Empregado de empresa privada,Veículos,27235145097.46,47450639551.985725
345,2013-07-31,Empregado de entidades sem fins lucrativos,Cartão de crédito,133433097.27,232474832.8017649
346,2013-07-31,Empregado de entidades sem fins lucrativos,Empréstimo com consignação em folha,124727746.13,217307868.29177475
336,2013-07-31,Autônomo,Rural e agroindustrial,21193901503.06,36925236760.19552
633,2013-08-31,MEI,Veículos,28120.199999999997,48978.00276511085
632,2013-08-31,MEI,Outros créditos,8915.69,15528.790317027304
631,2013-08-31,MEI,Empréstimo sem consignação em folha,5900.360000000001,10276.87741890703
630,2013-08-31,MEI,Empréstimo com consignação em folha,40889.979999999996,71219.60560399028
625,2013-08-31,Empresário,Habitacional,41446870098.06,72189561890.31276
628,2013-08-31,Empresário,Veículos,23838241298.99,41519955343.749756
627,2013-08-31,Empresário,Rural e agroindustrial,54216980162.28,94431739614.37366
626,2013-08-31,Empresário,Outros créditos,21404365120.99,37280782287.51184
634,2013-08-31,Outros,Cartão de crédito,47709396361.659996,83097237819.1888
629,2013-08-31,MEI,Cartão de crédito,12013.849999999999,20924.971320247612
635,2013-08-31,Outros,Empréstimo com consignação em folha,86212497505.53,150159527358.0188
647,2013-08-31,Servidor ou empregado público,Veículos,22358403736.61,38942466982.281395
637,2013-08-31,Outros,Habitacional,117636637257.45,204892125407.13538
638,2013-08-31,Outros,Outros créditos,34568005301.0,60208386114.49223
639,2013-08-31,Outros,Rural e agroindustrial,53985805814.6,94029094617.54242
640,2013-08-31,Outros,Veículos,103123849104.78,179614660158.98853
641,2013-08-31,Servidor ou empregado público,Cartão de crédito,16405877867.62,28574730320.707653
642,2013-08-31,Servidor ou empregado público,Empréstimo com consignação em folha,70614433345.7,122991796347.90756
643,2013-08-31,Servidor ou empregado público,Empréstimo sem consignação em folha,14706172782.21,25614290481.2654
644,2013-08-31,Servidor ou empregado público,Habitacional,48397847968.08,84296339699.07884
645,2013-08-31,Servidor ou empregado público,Outros créditos,8245882989.26,14362162425.898706
646,2013-08-31,Servidor ou empregado público,Rural e agroindustrial,3666814831.16,6386628364.652596
624,2013-08-31,Empresário,Empréstimo sem consignação em folha,14140897959.53,24629730206.862354
636,2013-08-31,Outros,Empréstimo sem consignação em folha,33607652706.02,58535704126.01378
623,2013-08-31,Empresário,Empréstimo com consignação em folha,5915381805.96,10303041459.484474
609,2013-08-31,Empregado de empresa privada,Empréstimo com consignação em folha,13352982059.89,23257387651.999912
594,2013-08-31,Aposentado/pensionista,Cartão de crédito,6687667437.89,11648160193.210512
595,2013-08-31,Aposentado/pensionista,Empréstimo com consignação em folha,27814375740.260002,48445337227.910416
596,2013-08-31,Aposentado/pensionista,Empréstimo sem consignação em folha,7421334485.23,12926015495.56573
597,2013-08-31,Aposentado/pensionista,Habitacional,4303783193.93,7496059955.929942
598,2013-08-31,Aposentado/pensionista,Outros créditos,3583702389.5,6241868320.362777
599,2013-08-31,Aposentado/pensionista,Rural e agroindustrial,2395730195.5299997,4172732773.6334696
600,2013-08-31,Aposentado/pensionista,Veículos,7642683636.96,13311547581.59239
601,2013-08-31,Autônomo,Cartão de crédito,8702150644.84,15156860845.420185
602,2013-08-31,Autônomo,Empréstimo com consignação em folha,4253953312.68,7409269390.370392
603,2013-08-31,Autônomo,Empréstimo sem consignação em folha,7287236789.92,12692452530.44855
604,2013-08-31,Autônomo,Habitacional,23255210105.87,40504468135.665276
605,2013-08-31,Autônomo,Outros créditos,9733368508.15,16952971518.908598
622,2013-08-31,Empresário,Cartão de crédito,16146352873.29,28122705943.572704
606,2013-08-31,Autônomo,Rural e agroindustrial,21843151012.22,38045032065.036705
608,2013-08-31,Empregado de empresa privada,Cartão de crédito,16508082611.52,28752744140.998463
610,2013-08-31,Empregado de empresa privada,Empréstimo sem consignação em folha,10773767056.24,18765072534.0212
611,2013-08-31,Empregado de empresa privada,Habitacional,68419508202.81,119168813235.4945
612,2013-08-31,Empregado de empresa privada,Outros créditos,11724325249.65,20420695247.41704
613,2013-08-31,Empregado de empresa privada,Rural e agroindustrial,4033928986.96,7026044803.293991
614,2013-08-31,Empregado de empresa privada,Veículos,26921627327.74,46890403969.36485
615,2013-08-31,Empregado de entidades sem fins lucrativos,Cartão de crédito,133182309.12,231968602.79596904
616,2013-08-31,Empregado de entidades sem fins lucrativos,Empréstimo com consignação em folha,126481339.65,220297273.95653746
617,2013-08-31,Empregado de entidades sem fins lucrativos,Empréstimo sem consignação em folha,92197818.3,160584384.16634974
618,2013-08-31,Empregado de entidades sem fins lucrativos,Habitacional,463822393.32,807856788.4491323
620,2013-08-31,Empregado de entidades sem fins lucrativos,Rural e agroindustrial,123488522.39,215084572.3386346
607,2013-08-31,Autônomo,Veículos,16091170736.35,28026593154.345314
621,2013-08-31,Empregado de entidades sem fins lucrativos,Veículos,181160531.45000002,315534064.84616226
619,2013-08-31,Empregado de entidades sem fins lucrativos,Outros créditos,87111002.85,151724487.67999086
593,2013-09-30,Servidor ou empregado público,Veículos,22172200378.54,38525697003.10043
564,2013-09-30,Empregado de entidades sem fins lucrativos,Habitacional,467622140.82,812525081.0293627
563,2013-09-30,Empregado de entidades sem fins lucrativos,Empréstimo sem consignação em folha,92067247.91,159973067.0088573
562,2013-09-30,Empregado de entidades sem fins lucrativos,Empréstimo com consignação em folha,127655864.45,221810694.04503566
561,2013-09-30,Empregado de entidades sem fins lucrativos,Cartão de crédito,135457460.29,235366494.20654762
560,2013-09-30,Empregado de empresa privada,Veículos,26717139526.829998,46422836012.09218
559,2013-09-30,Empregado de empresa privada,Rural e agroindustrial,4164879082.83,7236758953.115011
558,2013-09-30,Empregado de empresa privada,Outros créditos,12016584403.22,20879627724.215992
557,2013-09-30,Empregado de empresa privada,Habitacional,68992114921.58,119878463557.65695
556,2013-09-30,Empregado de empresa privada,Empréstimo sem consignação em folha,10781317394.68,18733267792.56937
555,2013-09-30,Empregado de empresa privada,Empréstimo com consignação em folha,13457625109.37,23383533365.805027
553,2013-09-30,Autônomo,Veículos,15963434289.88,27737546210.166325
565,2013-09-30,Empregado de entidades sem fins lucrativos,Outros créditos,88941454.52,154541789.68944478
552,2013-09-30,Autônomo,Rural e agroindustrial,22444380675.99,38998628669.36489
550,2013-09-30,Autônomo,Habitacional,23552262600.29,40923648405.886154
549,2013-09-30,Autônomo,Empréstimo sem consignação em folha,7226964210.5199995,12557338860.072042
548,2013-09-30,Autônomo,Empréstimo com consignação em folha,4289419750.78,7453156782.653362
547,2013-09-30,Autônomo,Cartão de crédito,8770246739.43,15238896580.275198
546,2013-09-30,Aposentado/pensionista,Veículos,7557864932.87,13132301234.113272
545,2013-09-30,Aposentado/pensionista,Rural e agroindustrial,2441308320.18,4241938239.266264
544,2013-09-30,Aposentado/pensionista,Outros créditos,3571090115.02,6205010481.286607
543,2013-09-30,Aposentado/pensionista,Habitacional,4255806457.21,7394751412.809805
542,2013-09-30,Aposentado/pensionista,Empréstimo sem consignação em folha,7363157449.55,12793983819.578138
541,2013-09-30,Aposentado/pensionista,Empréstimo com consignação em folha,27859044331.49,48406972803.19278
540,2013-09-30,Aposentado/pensionista,Cartão de crédito,6715850509.26,11669244252.739592
551,2013-09-30,Autônomo,Outros créditos,9901669551.82,17204820201.221794
566,2013-09-30,Empregado de entidades sem fins lucrativos,Rural e agroindustrial,127386852.96000001,221343268.39592764
554,2013-09-30,Empregado de empresa privada,Cartão de crédito,16608867754.51,28859030486.398277
568,2013-09-30,Empresário,Cartão de crédito,16253833659.41,28242134745.782875
567,2013-09-30,Empregado de entidades sem fins lucrativos,Veículos,179138111.93,311264579.25224274
591,2013-09-30,Servidor ou empregado público,Outros créditos,8521926931.84,14807424128.116596
590,2013-09-30,Servidor ou empregado público,Habitacional,48571126977.45,84395616541.67107
589,2013-09-30,Servidor ou empregado público,Empréstimo sem consignação em folha,14742724198.7,25616479906.483364
588,2013-09-30,Servidor ou empregado público,Empréstimo com consignação em folha,70949379601.68001,123279343250.83282
587,2013-09-30,Servidor ou empregado público,Cartão de crédito,16619391080.86,28877315477.310467
586,2013-09-30,Outros,Veículos,102855846519.43001,178718986404.26648
585,2013-09-30,Outros,Rural e agroindustrial,55669872200.26,96730166242.96658
584,2013-09-30,Outros,Outros créditos,35478677735.03,61646600930.656715
583,2013-09-30,Outros,Habitacional,120901640377.28,210074773131.7234
582,2013-09-30,Outros,Empréstimo sem consignação em folha,33777698291.06,58691034160.192345
581,2013-09-30,Outros,Empréstimo com consignação em folha,86949395408.7,151080452319.9481
592,2013-09-30,Servidor ou empregado público,Rural e agroindustrial,3761749225.41,6536293574.185007
579,2013-09-30,MEI,Veículos,27865.75,48418.624355533495
580,2013-09-30,Outros,Cartão de crédito,48389890978.45,84080706741.8171
570,2013-09-30,Empresário,Empréstimo sem consignação em folha,14366719170.539999,24963145752.036747
571,2013-09-30,Empresário,Habitacional,42050633274.08,73065817945.32632
572,2013-09-30,Empresário,Outros créditos,21696852185.97,37699747384.87273
573,2013-09-30,Empresário,Rural e agroindustrial,55279754211.69,96052309865.76851
569,2013-09-30,Empresário,Empréstimo com consignação em folha,5963106805.49,10361301181.807259
575,2013-09-30,MEI,Cartão de crédito,9504.21,16514.207361585635
576,2013-09-30,MEI,Empréstimo com consignação em folha,40527.22,70418.78439855608
577,2013-09-30,MEI,Empréstimo sem consignação em folha,5502.55,9561.05259853192
578,2013-09-30,MEI,Outros créditos,9444.79,16410.9610947812
574,2013-09-30,Empresário,Veículos,23649259938.16,41092187837.475624
176,2013-10-31,Empregado de empresa privada,Cartão de crédito,17079032902.470001,29572477092.357033
177,2013-10-31,Empregado de empresa privada,Empréstimo com consignação em folha,13624690242.25,23591256154.856876
178,2013-10-31,Empregado de empresa privada,Empréstimo sem consignação em folha,10927112815.28,18920380050.836216
185,2013-10-31,Empregado de entidades sem fins lucrativos,Empréstimo sem consignação em folha,93263778.57,161486951.34307694
179,2013-10-31,Empregado de empresa privada,Habitacional,68976641174.36,119433585770.62585
181,2013-10-31,Empregado de empresa privada,Rural e agroindustrial,4248837614.4700003,7356895073.660022
182,2013-10-31,Empregado de empresa privada,Veículos,26663381706.96,46167850910.32944
183,2013-10-31,Empregado de entidades sem fins lucrativos,Cartão de crédito,138729102.99,240210510.96058807
184,2013-10-31,Empregado de entidades sem fins lucrativos,Empréstimo com consignação em folha,130743318.62,226383063.78047436
175,2013-10-31,Autônomo,Veículos,15918849544.18,27563610666.3779
180,2013-10-31,Empregado de empresa privada,Outros créditos,12172781000.01,21077264112.595848
174,2013-10-31,Autônomo,Rural e agroindustrial,22936525258.29,39714770247.96609
168,2013-10-31,Aposentado/pensionista,Veículos,7500651174.59,12987435313.520864
172,2013-10-31,Autônomo,Habitacional,23497691405.11,40686433755.882904
171,2013-10-31,Autônomo,Empréstimo sem consignação em folha,7275406364.39,12597422188.781906
170,2013-10-31,Autônomo,Empréstimo com consignação em folha,4366317255.23,7560311977.007691
169,2013-10-31,Autônomo,Cartão de crédito,8995205007.66,15575266793.449978
167,2013-10-31,Aposentado/pensionista,Rural e agroindustrial,2472413033.93,4281002222.2139864
166,2013-10-31,Aposentado/pensionista,Outros créditos,3661437855.93,6339807864.877375
165,2013-10-31,Aposentado/pensionista,Habitacional,4254664540.99,7366984441.835348
164,2013-10-31,Aposentado/pensionista,Empréstimo sem consignação em folha,7432754229.39,12869871229.650658
163,2013-10-31,Aposentado/pensionista,Empréstimo com consignação em folha,28041523033.53,48554113238.10608
162,2013-10-31,Aposentado/pensionista,Cartão de crédito,6900284546.150001,11947895869.575542
186,2013-10-31,Empregado de entidades sem fins lucrativos,Habitacional,474651133.15,821862095.0083
173,2013-10-31,Autônomo,Outros créditos,10011520850.23,17335025507.226696
188,2013-10-31,Empregado de entidades sem fins lucrativos,Rural e agroindustrial,127355470.68,220516978.96348515
187,2013-10-31,Empregado de entidades sem fins lucrativos,Outros créditos,91043400.03,157642348.78943852
208,2013-10-31,Outros,Veículos,103024999438.48,178388580502.93503
215,2013-10-31,Servidor ou empregado público,Veículos,22068259478.66,38211361359.136536
214,2013-10-31,Servidor ou empregado público,Rural e agroindustrial,3834616489.2200003,6639668003.042082
213,2013-10-31,Servidor ou empregado público,Outros créditos,8683525878.07,15035591978.570204
212,2013-10-31,Servidor ou empregado público,Habitacional,49072729595.44,84969809479.71034
211,2013-10-31,Servidor ou empregado público,Empréstimo sem consignação em folha,14931872756.17,25854652751.67696
210,2013-10-31,Servidor ou empregado público,Empréstimo com consignação em folha,72081412827.22,124809521814.86893
209,2013-10-31,Servidor ou empregado público,Cartão de crédito,17046547922.45,29516229099.102787
207,2013-10-31,Outros,Rural e agroindustrial,56981826131.75,98664471084.7853
206,2013-10-31,Outros,Outros créditos,36094328292.52,62497607604.010925
205,2013-10-31,Outros,Habitacional,124090734096.1,214864062408.3563
204,2013-10-31,Outros,Empréstimo sem consignação em folha,34112900909.15,59066750819.58469
203,2013-10-31,Outros,Empréstimo com consignação em folha,88096578221.48,152539904117.93063
189,2013-10-31,Empregado de entidades sem fins lucrativos,Veículos,178375369.27,308858326.5633806
201,2013-10-31,MEI,Veículos,27317.629999999997,47300.686871775535
190,2013-10-31,Empresário,Cartão de crédito,16723308651.29,28956537810.004864
202,2013-10-31,Outros,Cartão de crédito,49679450778.6,86020351884.12552
191,2013-10-31,Empresário,Empréstimo com consignação em folha,6063896309.68,10499683192.39586
192,2013-10-31,Empresário,Empréstimo sem consignação em folha,14511524669.01,25126816799.293648
