,data_base,porte,modalidade,longo_prazo,numero_de_operacoes,longo_prazo_deflacionado
279,2014-12-31,Mais de 1 a 2 salários mínimos,Veículos,10244976727.81,2295499.0,16551917500.391863
293,2014-12-31,Mais de 3 a 5 salários mínimos,Veículos,17292944541.64,2644134.0,27938705865.002277
281,2014-12-31,Mais de 2 a 3 salários mínimos,Empréstimo com consignação em folha,17530294044.059998,5797080.0,28322170804.668827
282,2014-12-31,Mais de 2 a 3 salários mínimos,Empréstimo sem consignação em folha,2554502595.83,3946348.0,4127087580.9742656
283,2014-12-31,Mais de 2 a 3 salários mínimos,Habitacional,51775768430.77,919705.0,83649604128.35327
285,2014-12-31,Mais de 2 a 3 salários mínimos,Rural e agroindustrial,4304562213.74,379025.0,6954506635.795845
284,2014-12-31,Mais de 2 a 3 salários mínimos,Outros créditos,3268789769.48,5563722.0,5281099218.477532
287,2014-12-31,Mais de 3 a 5 salários mínimos,Cartão de crédito,296017688.06,19896247.0,478250022.5818689
288,2014-12-31,Mais de 3 a 5 salários mínimos,Empréstimo com consignação em folha,26789358837.56,6015758.0,43281236175.38688
289,2014-12-31,Mais de 3 a 5 salários mínimos,Empréstimo sem consignação em folha,4681237771.51,4262142.0,7563068560.5583515
290,2014-12-31,Mais de 3 a 5 salários mínimos,Habitacional,52044498520.75,799832.0,84083767952.96674
291,2014-12-31,Mais de 3 a 5 salários mínimos,Outros créditos,4268228244.54,4897683.0,6895805003.118858
286,2014-12-31,Mais de 2 a 3 salários mínimos,Veículos,11094358976.53,2187866.0,17924190496.28339
139,2015-01-31,Mais de 10 a 20 salários mínimos,Empréstimo com consignação em folha,23737384264.58,1820985.0,38053625432.30369
136,2015-01-31,Indisponível,Rural e agroindustrial,240529735.23999998,12538.0,385595495.6170941
137,2015-01-31,Indisponível,Veículos,19672004.92,38155.0,31536377.318756804
138,2015-01-31,Mais de 10 a 20 salários mínimos,Cartão de crédito,289543388.5,12001009.0,464169747.16206956
140,2015-01-31,Mais de 10 a 20 salários mínimos,Empréstimo sem consignação em folha,7437586862.8,1817824.0,11923265910.116978
146,2015-01-31,Mais de 1 a 2 salários mínimos,Empréstimo com consignação em folha,28021270548.760002,13440732.0,44921164089.29115
142,2015-01-31,Mais de 10 a 20 salários mínimos,Outros créditos,6054279712.73,2151820.0,9705673122.307648
143,2015-01-31,Mais de 10 a 20 salários mínimos,Rural e agroindustrial,11183034233.22,465723.0,17927628047.14671
144,2015-01-31,Mais de 10 a 20 salários mínimos,Veículos,9625258373.66,908473.0,15430342819.488537
145,2015-01-31,Mais de 1 a 2 salários mínimos,Cartão de crédito,238613125.09,33335735.0,382522959.74140877
135,2015-01-31,Indisponível,Habitacional,313974922.7,5973.0,503336170.9272437
141,2015-01-31,Mais de 10 a 20 salários mínimos,Habitacional,74084612230.79,526417.0,118765743213.52794
134,2015-01-31,Indisponível,Empréstimo com consignação em folha,9330507.7,3444.0,14957825.224189993
120,2015-01-31,Acima de 20 salários mínimos,Cartão de crédito,194169600.99,6957842.0,311275125.51746017
132,2015-01-31,Até 1 salário mínimo,Rural e agroindustrial,2299048003.6,270112.0,3685625619.265255
131,2015-01-31,Até 1 salário mínimo,Outros créditos,1991310185.81,3708861.0,3192288210.2648373
130,2015-01-31,Até 1 salário mínimo,Habitacional,27239107361.29,420439.0,43667270878.85292
129,2015-01-31,Até 1 salário mínimo,Empréstimo sem consignação em folha,1403967584.56,2609191.0,2250713725.9290476
128,2015-01-31,Até 1 salário mínimo,Empréstimo com consignação em folha,13199382709.44,7270882.0,21160055377.80103
127,2015-01-31,Até 1 salário mínimo,Cartão de crédito,76250328.89,10780410.0,122237624.09237657
126,2015-01-31,Acima de 20 salários mínimos,Veículos,10832895793.46,910531.0,17366317799.666748
125,2015-01-31,Acima de 20 salários mínimos,Rural e agroindustrial,56087837986.04,848020.0,89914944049.3866
124,2015-01-31,Acima de 20 salários mínimos,Outros créditos,11432580452.54,1186234.0,18327677953.749966
123,2015-01-31,Acima de 20 salários mínimos,Habitacional,65117212707.0,276072.0,104390020144.10318
122,2015-01-31,Acima de 20 salários mínimos,Empréstimo sem consignação em folha,8734871194.08,820232.0,14002954702.760752
121,2015-01-31,Acima de 20 salários mínimos,Empréstimo com consignação em folha,15012969707.63,651706.0,24067433863.51723
147,2015-01-31,Mais de 1 a 2 salários mínimos,Empréstimo sem consignação em folha,2366086625.36,5265351.0,3793095868.4518733
133,2015-01-31,Até 1 salário mínimo,Veículos,4555542641.41,814845.0,7303033534.987127
148,2015-01-31,Mais de 1 a 2 salários mínimos,Habitacional,32898684530.11,743294.0,52740192616.437
179,2015-01-31,Sem rendimento,Veículos,9286852155.06,1293565.0,14887840606.817104
150,2015-01-31,Mais de 1 a 2 salários mínimos,Rural e agroindustrial,4383639986.309999,446770.0,7027454761.223292
178,2015-01-31,Sem rendimento,Rural e agroindustrial,2821738016.82,76760.0,4523554927.675163
177,2015-01-31,Sem rendimento,Outros créditos,591584776.29,519610.0,948375155.302359
176,2015-01-31,Sem rendimento,Habitacional,870574340.53,5496.0,1395625966.881974
175,2015-01-31,Sem rendimento,Empréstimo sem consignação em folha,372849600.17,309249.0,597718723.7358992
174,2015-01-31,Sem rendimento,Empréstimo com consignação em folha,3588201121.31,1891348.0,5752279186.458154
173,2015-01-31,Sem rendimento,Cartão de crédito,72085331.33,4376732.0,115560677.07462128
172,2015-01-31,Mais de 5 a 10 salários mínimos,Veículos,18288981471.43,2182521.0,29319239335.507874
149,2015-01-31,Mais de 1 a 2 salários mínimos,Outros créditos,3029184229.44,7776657.0,4856113914.984087
170,2015-01-31,Mais de 5 a 10 salários mínimos,Outros créditos,6684950805.97,4659081.0,10716707922.336027
169,2015-01-31,Mais de 5 a 10 salários mínimos,Habitacional,75190055014.84,808298.0,120537889005.6762
168,2015-01-31,Mais de 5 a 10 salários mínimos,Empréstimo sem consignação em folha,8440762826.79,4164180.0,13531466794.88456
167,2015-01-31,Mais de 5 a 10 salários mínimos,Empréstimo com consignação em folha,37476290919.11,5140377.0,60078596754.05937
166,2015-01-31,Mais de 5 a 10 salários mínimos,Cartão de crédito,413650004.83,20806530.0,663126238.6967953
165,2015-01-31,Mais de 3 a 5 salários mínimos,Veículos,17170432392.21,2652858.0,27526082717.497536
171,2015-01-31,Mais de 5 a 10 salários mínimos,Rural e agroindustrial,11365539475.039999,639810.0,18220203928.05425
163,2015-01-31,Mais de 3 a 5 salários mínimos,Outros créditos,4312233964.51,5005510.0,6912983091.687122
164,2015-01-31,Mais de 3 a 5 salários mínimos,Rural e agroindustrial,7307187664.44,514233.0,11714221720.759161
151,2015-01-31,Mais de 1 a 2 salários mínimos,Veículos,10976004517.33,2385439.0,17595736749.688553
152,2015-01-31,Mais de 2 a 3 salários mínimos,Cartão de crédito,201673173.05,20290331.0,323304172.92187905
153,2015-01-31,Mais de 2 a 3 salários mínimos,Empréstimo com consignação em folha,17727999515.12,5643941.0,28419923850.627113
155,2015-01-31,Mais de 2 a 3 salários mínimos,Habitacional,52845652590.29,929075.0,84717365948.24536
156,2015-01-31,Mais de 2 a 3 salários mínimos,Outros créditos,3241719043.92,5536922.0,5196830488.107699
154,2015-01-31,Mais de 2 a 3 salários mínimos,Empréstimo sem consignação em folha,2756816679.07,4037403.0,4419478916.528941
158,2015-01-31,Mais de 2 a 3 salários mínimos,Veículos,11008178546.89,2162874.0,17647315241.062218
159,2015-01-31,Mais de 3 a 5 salários mínimos,Cartão de crédito,294467357.5,19652561.0,472063408.4803416
160,2015-01-31,Mais de 3 a 5 salários mínimos,Empréstimo com consignação em folha,27904944646.74,6023257.0,44734680934.525475
161,2015-01-31,Mais de 3 a 5 salários mínimos,Empréstimo sem consignação em folha,4860875075.21,4318094.0,7792514850.141818
162,2015-01-31,Mais de 3 a 5 salários mínimos,Habitacional,52642120415.5,801910.0,84391081592.03523
157,2015-01-31,Mais de 2 a 3 salários mínimos,Rural e agroindustrial,4538293818.5,386968.0,7275381783.688451
99,2015-02-28,Mais de 3 a 5 salários mínimos,Cartão de crédito,281346117.25,18967998.0,445504615.2279451
102,2015-02-28,Mais de 3 a 5 salários mínimos,Habitacional,53002509754.94,804469.0,83928162738.8087
101,2015-02-28,Mais de 3 a 5 salários mínimos,Empréstimo sem consignação em folha,4837656887.21,4293044.0,7660309981.197402
100,2015-02-28,Mais de 3 a 5 salários mínimos,Empréstimo com consignação em folha,27819016614.94,5997591.0,44050724474.885765
98,2015-02-28,Mais de 2 a 3 salários mínimos,Veículos,11415685993.68,2240033.0,18076456309.003677
91,2015-02-28,Mais de 1 a 2 salários mínimos,Veículos,11087185622.97,2464246.0,17556284100.174675
96,2015-02-28,Mais de 2 a 3 salários mínimos,Outros créditos,3197905069.05,5448438.0,5063803550.047448
95,2015-02-28,Mais de 2 a 3 salários mínimos,Habitacional,53559116400.32,936355.0,84809535589.47075
94,2015-02-28,Mais de 2 a 3 salários mínimos,Empréstimo sem consignação em folha,2729887710.56,3931748.0,4322709643.182498
93,2015-02-28,Mais de 2 a 3 salários mínimos,Empréstimo com consignação em folha,17723104804.93,5565656.0,28064097930.126614
92,2015-02-28,Mais de 2 a 3 salários mínimos,Cartão de crédito,193423056.08,19562713.0,306280623.3738193
97,2015-02-28,Mais de 2 a 3 salários mínimos,Rural e agroindustrial,4571088700.1,386692.0,7238205852.6910715
103,2015-02-28,Mais de 3 a 5 salários mínimos,Outros créditos,4266330849.01,4967479.0,6755629336.211543
117,2015-02-28,Sem rendimento,Outros créditos,602872996.52,509534.0,954634472.9090477
105,2015-02-28,Mais de 3 a 5 salários mínimos,Veículos,17811859256.13,2719881.0,28204638407.521896
106,2015-02-28,Mais de 5 a 10 salários mínimos,Cartão de crédito,414872982.09,20414063.0,656941101.8039404
107,2015-02-28,Mais de 5 a 10 salários mínimos,Empréstimo com consignação em folha,37616983549.74,5179450.0,59565562681.89572
108,2015-02-28,Mais de 5 a 10 salários mínimos,Empréstimo sem consignação em folha,8385701076.89,4182028.0,13278550165.157627
109,2015-02-28,Mais de 5 a 10 salários mínimos,Habitacional,75758039203.1,810863.0,119960980572.58919
110,2015-02-28,Mais de 5 a 10 salários mínimos,Outros créditos,6668685135.59,4674584.0,10559697906.78652
111,2015-02-28,Mais de 5 a 10 salários mínimos,Rural e agroindustrial,11471003056.789999,640404.0,18164049509.710484
112,2015-02-28,Mais de 5 a 10 salários mínimos,Veículos,18892486342.2,2247753.0,29915784660.010334
113,2015-02-28,Sem rendimento,Cartão de crédito,71624906.33,4431278.0,113416266.93547077
114,2015-02-28,Sem rendimento,Empréstimo com consignação em folha,3639474431.39,1940703.0,5763017709.420144
115,2015-02-28,Sem rendimento,Empréstimo sem consignação em folha,337742246.67,315346.0,534806490.7369539
116,2015-02-28,Sem rendimento,Habitacional,872671531.5,5517.0,1381853777.3379884
90,2015-02-28,Mais de 1 a 2 salários mínimos,Rural e agroindustrial,4349384593.18,440437.0,6887142885.079245
104,2015-02-28,Mais de 3 a 5 salários mínimos,Rural e agroindustrial,7337883464.1,513715.0,11619356901.79272
89,2015-02-28,Mais de 1 a 2 salários mínimos,Outros créditos,3067218717.48,7833235.0,4856864945.950765
74,2015-02-28,Indisponível,Empréstimo com consignação em folha,8805993.9,3212.0,13944073.451111868
87,2015-02-28,Mais de 1 a 2 salários mínimos,Empréstimo sem consignação em folha,2415322090.54,5433260.0,3824602767.2790947
118,2015-02-28,Sem rendimento,Rural e agroindustrial,2890177363.68,76944.0,4576524342.799599
60,2015-02-28,Acima de 20 salários mínimos,Cartão de crédito,200574014.51,6607170.0,317603989.10926086
61,2015-02-28,Acima de 20 salários mínimos,Empréstimo com consignação em folha,15106035128.52,648940.0,23920032852.527752
62,2015-02-28,Acima de 20 salários mínimos,Empréstimo sem consignação em folha,8701831591.75,800376.0,13779135013.319473
63,2015-02-28,Acima de 20 salários mínimos,Habitacional,64900592359.88,274228.0,102768482145.64813
64,2015-02-28,Acima de 20 salários mínimos,Outros créditos,11450196483.49,1156923.0,18131102815.713665
65,2015-02-28,Acima de 20 salários mínimos,Rural e agroindustrial,55979864004.2,837561.0,88642729522.87851
66,2015-02-28,Acima de 20 salários mínimos,Veículos,7028543693.31,453421.0,11129525028.840155
67,2015-02-28,Até 1 salário mínimo,Cartão de crédito,76537910.25,10649279.0,121195887.07875529
68,2015-02-28,Até 1 salário mínimo,Empréstimo com consignação em folha,14482014462.55,7824506.0,22931911568.308212
69,2015-02-28,Até 1 salário mínimo,Empréstimo sem consignação em folha,1583929509.32,2927134.0,2508113186.3311486
70,2015-02-28,Até 1 salário mínimo,Habitacional,29075271249.65,439118.0,46039972605.03675
71,2015-02-28,Até 1 salário mínimo,Outros créditos,2051389775.51,3812400.0,3248324951.3233624
72,2015-02-28,Até 1 salário mínimo,Rural e agroindustrial,2380059644.15,272980.0,3768765555.9305778
73,2015-02-28,Até 1 salário mínimo,Veículos,4641206638.12,830648.0,7349235872.5950575
75,2015-02-28,Indisponível,Habitacional,311822972.74,5789.0,493763961.79772663
76,2015-02-28,Indisponível,Rural e agroindustrial,233315647.76,12298.0,369449555.22387815
77,2015-02-28,Indisponível,Veículos,13968296.74,34641.0,22118452.265733056
78,2015-02-28,Mais de 10 a 20 salários mínimos,Cartão de crédito,299214042.35,11869026.0,473798032.51198
79,2015-02-28,Mais de 10 a 20 salários mínimos,Empréstimo com consignação em folha,23944975928.96,1845855.0,37916276905.27061
80,2015-02-28,Mais de 10 a 20 salários mínimos,Empréstimo sem consignação em folha,7455155064.62,1834595.0,11805053579.527225
81,2015-02-28,Mais de 10 a 20 salários mínimos,Habitacional,74630849209.21,528223.0,118176103107.68877
82,2015-02-28,Mais de 10 a 20 salários mínimos,Outros créditos,6108555434.26,2172349.0,9672746384.199743
83,2015-02-28,Mais de 10 a 20 salários mínimos,Rural e agroindustrial,11395183514.59,468704.0,18043991140.664093
84,2015-02-28,Mais de 10 a 20 salários mínimos,Veículos,10037641805.42,936374.0,15894357434.284348
85,2015-02-28,Mais de 1 a 2 salários mínimos,Cartão de crédito,235421481.95,32984138.0,372784091.55841076
86,2015-02-28,Mais de 1 a 2 salários mínimos,Empréstimo com consignação em folha,28376001778.7,13552369.0,44932696700.03676
88,2015-02-28,Mais de 1 a 2 salários mínimos,Habitacional,33438513975.29,748923.0,52949059499.97018
119,2015-02-28,Sem rendimento,Veículos,9600011776.18,1387262.0,15201381111.403316
58,2015-03-31,Sem rendimento,Rural e agroindustrial,2455976252.32,67180.0,3842108058.6200857
57,2015-03-31,Sem rendimento,Outros créditos,623019408.32,485341.0,974646186.8765264
25,2015-03-31,Mais de 1 a 2 salários mínimos,Cartão de crédito,228617103.81,33305008.0,357646624.6597643
24,2015-03-31,Mais de 10 a 20 salários mínimos,Veículos,9902636848.68,929367.0,15491599644.728292
23,2015-03-31,Mais de 10 a 20 salários mínimos,Rural e agroindustrial,11539323317.11,473295.0,18052017834.378613
22,2015-03-31,Mais de 10 a 20 salários mínimos,Outros créditos,6101505552.08,2230189.0,9545142641.023922
21,2015-03-31,Mais de 10 a 20 salários mínimos,Habitacional,75269096689.02,530102.0,117750325427.92603
20,2015-03-31,Mais de 10 a 20 salários mínimos,Empréstimo sem consignação em folha,7542959644.09,1869806.0,11800140985.49526
19,2015-03-31,Mais de 10 a 20 salários mínimos,Empréstimo com consignação em folha,24266381879.84,1872336.0,37962118439.05802
18,2015-03-31,Mais de 10 a 20 salários mínimos,Cartão de crédito,299908303.44,11801170.0,469173962.250416
17,2015-03-31,Indisponível,Veículos,8795996.42,30981.0,13760380.906350922
16,2015-03-31,Indisponível,Rural e agroindustrial,229737300.55,12109.0,359399050.7746049
15,2015-03-31,Indisponível,Habitacional,310673053.27,5628.0,486014244.0046889
13,2015-03-31,Até 1 salário mínimo,Veículos,4651956836.3,831701.0,7277481136.968353
26,2015-03-31,Mais de 1 a 2 salários mínimos,Empréstimo com consignação em folha,28955215575.65,13757184.0,45297289416.865074
12,2015-03-31,Até 1 salário mínimo,Rural e agroindustrial,2370996291.78,268692.0,3709166141.570389
10,2015-03-31,Até 1 salário mínimo,Habitacional,31792122652.38,465046.0,49735322370.46731
9,2015-03-31,Até 1 salário mínimo,Empréstimo sem consignação em folha,1541302426.48,2879583.0,2411200217.4107
8,2015-03-31,Até 1 salário mínimo,Empréstimo com consignação em folha,14765122912.0,7810710.0,23098430887.970882
7,2015-03-31,Até 1 salário mínimo,Cartão de crédito,63448360.52,10495268.0,99258067.75608915
6,2015-03-31,Acima de 20 salários mínimos,Veículos,6906253694.26,445403.0,10804083691.169899
5,2015-03-31,Acima de 20 salários mínimos,Rural e agroindustrial,57107649568.81,846385.0,89338714252.59544
4,2015-03-31,Acima de 20 salários mínimos,Outros créditos,11574878320.8,1170314.0,18107639775.377663
3,2015-03-31,Acima de 20 salários mínimos,Habitacional,65594606245.14,275617.0,102615636050.3875
2,2015-03-31,Acima de 20 salários mínimos,Empréstimo sem consignação em folha,8746859621.03,800841.0,13683511722.001482
1,2015-03-31,Acima de 20 salários mínimos,Empréstimo com consignação em folha,15394198363.27,661086.0,24082551096.185997
0,2015-03-31,Acima de 20 salários mínimos,Cartão de crédito,194481954.93,6524455.0,304245892.2747689
59,2015-03-31,Sem rendimento,Veículos,9519086516.8,1375817.0,14891576814.861551
11,2015-03-31,Até 1 salário mínimo,Outros créditos,2064246611.0,3808470.0,3229289587.637645
27,2015-03-31,Mais de 1 a 2 salários mínimos,Empréstimo sem consignação em folha,2471421858.29,5593904.0,3866271031.332688
14,2015-03-31,Indisponível,Empréstimo com consignação em folha,7757640.1,2941.0,12135985.238427626
29,2015-03-31,Mais de 1 a 2 salários mínimos,Outros créditos,3072342908.82,7958090.0,4806346737.950284
28,2015-03-31,Mais de 1 a 2 salários mínimos,Habitacional,34216765835.63,756071.0,53528413246.18043
55,2015-03-31,Sem rendimento,Empréstimo sem consignação em folha,189293128.82,280245.0,296128537.478208
54,2015-03-31,Sem rendimento,Empréstimo com consignação em folha,3515221010.35,1930267.0,5499181418.769124
53,2015-03-31,Sem rendimento,Cartão de crédito,61854370.5,4386314.0,96764443.52197175
52,2015-03-31,Mais de 5 a 10 salários mínimos,Veículos,18662716866.62,2227084.0,29195793241.58833
51,2015-03-31,Mais de 5 a 10 salários mínimos,Rural e agroindustrial,11537920151.59,643319.0,18049822734.345833
50,2015-03-31,Mais de 5 a 10 salários mínimos,Outros créditos,6655195718.47,4771287.0,10411330760.00763
49,2015-03-31,Mais de 5 a 10 salários mínimos,Habitacional,76573268496.88,813952.0,119790560551.564
48,2015-03-31,Mais de 5 a 10 salários mínimos,Empréstimo sem consignação em folha,8455369257.4800005,4311758.0,13227506712.28381
47,2015-03-31,Mais de 5 a 10 salários mínimos,Empréstimo com consignação em folha,38085754602.31,5264516.0,59581025890.594124
46,2015-03-31,Mais de 5 a 10 salários mínimos,Cartão de crédito,386681628.8,20345293.0,604921403.7511164
45,2015-03-31,Mais de 3 a 5 salários mínimos,Veículos,17571128400.97,2691479.0,27488121664.304634
44,2015-03-31,Mais de 3 a 5 salários mínimos,Rural e agroindustrial,7348118202.25,513430.0,11495332715.00019
43,2015-03-31,Mais de 3 a 5 salários mínimos,Outros créditos,4229257470.91,5020373.0,6616213896.861949
56,2015-03-31,Sem rendimento,Habitacional,790497068.8299999,5039.0,1236646793.9575062
30,2015-03-31,Mais de 1 a 2 salários mínimos,Rural e agroindustrial,4323224830.99,435538.0,6763215624.207471
42,2015-03-31,Mais de 3 a 5 salários mínimos,Habitacional,53589318376.63,807274.0,83834667292.20656
31,2015-03-31,Mais de 1 a 2 salários mínimos,Veículos,10676504134.62,2375997.0,16702230949.816795
32,2015-03-31,Mais de 2 a 3 salários mínimos,Cartão de crédito,192462696.61,19746791.0,301086981.98140633
33,2015-03-31,Mais de 2 a 3 salários mínimos,Empréstimo com consignação em folha,17883377794.49,5597119.0,27976601921.39554
35,2015-03-31,Mais de 2 a 3 salários mínimos,Habitacional,54508477593.6,944035.0,85272592040.59914
34,2015-03-31,Mais de 2 a 3 salários mínimos,Empréstimo sem consignação em folha,2742391849.13,3972283.0,4290174147.0355043
37,2015-03-31,Mais de 2 a 3 salários mínimos,Rural e agroindustrial,4580796793.91,385952.0,7166158980.632314
38,2015-03-31,Mais de 2 a 3 salários mínimos,Veículos,11173001034.98,2198232.0,17478946416.89473
39,2015-03-31,Mais de 3 a 5 salários mínimos,Cartão de crédito,278745233.87,18999500.0,436066638.81305563
40,2015-03-31,Mais de 3 a 5 salários mínimos,Empréstimo com consignação em folha,27941175172.56,6026573.0,43710933359.55463
41,2015-03-31,Mais de 3 a 5 salários mínimos,Empréstimo sem consignação em folha,4855166289.5,4353289.0,7595380252.234624
36,2015-03-31,Mais de 2 a 3 salários mínimos,Outros créditos,3191745827.08,5503099.0,4993139633.051017
321,2015-04-30,Mais de 10 a 20 salários mínimos,Habitacional,78773562518.95999,536636.0,121627101127.42729
318,2015-04-30,Mais de 10 a 20 salários mínimos,Cartão de crédito,302219920.49,11659277.0,466630321.8584657
319,2015-04-30,Mais de 10 a 20 salários mínimos,Empréstimo com consignação em folha,24644564512.76,1865708.0,38051433049.17067
320,2015-04-30,Mais de 10 a 20 salários mínimos,Empréstimo sem consignação em folha,8502029039.14,1887306.0,13127210610.576519
322,2015-04-30,Mais de 10 a 20 salários mínimos,Outros créditos,6128974962.56,2191249.0,9463193408.313011
328,2015-04-30,Mais de 1 a 2 salários mínimos,Habitacional,35741334833.6,798212.0,55184947934.6475
324,2015-04-30,Mais de 10 a 20 salários mínimos,Veículos,9819483115.22,916321.0,15161371755.739347
325,2015-04-30,Mais de 1 a 2 salários mínimos,Cartão de crédito,235279633.4,33158255.0,363273906.2407918
326,2015-04-30,Mais de 1 a 2 salários mínimos,Empréstimo com consignação em folha,29481487751.18,13855391.0,45519686776.08971
327,2015-04-30,Mais de 1 a 2 salários mínimos,Empréstimo sem consignação em folha,2668766163.67,5619001.0,4120599369.8205633
317,2015-04-30,Indisponível,Veículos,5253884.25,27661.0,8112045.343039338
323,2015-04-30,Mais de 10 a 20 salários mínimos,Rural e agroindustrial,11678377527.74,477385.0,18031521733.307793
316,2015-04-30,Indisponível,Rural e agroindustrial,224164646.58,11861.0,346112264.91397256
309,2015-04-30,Até 1 salário mínimo,Empréstimo sem consignação em folha,1862466274.66,3078106.0,2875664965.3869853
314,2015-04-30,Indisponível,Empréstimo com consignação em folha,7118319.8100000005,2629.0,10990750.903005745
313,2015-04-30,Até 1 salário mínimo,Veículos,4533992985.97,817116.0,7000526646.016414
312,2015-04-30,Até 1 salário mínimo,Rural e agroindustrial,2370399385.91,266569.0,3659918335.5846715
311,2015-04-30,Até 1 salário mínimo,Outros créditos,1767409883.68,3703908.0,2728897028.165027
310,2015-04-30,Até 1 salário mínimo,Habitacional,20421480281.68,356526.0,31530952364.809315
308,2015-04-30,Até 1 salário mínimo,Empréstimo com consignação em folha,14368038922.49,7991219.0,22184383531.05951
307,2015-04-30,Até 1 salário mínimo,Cartão de crédito,64837090.49,9953579.0,100109060.82782936
306,2015-04-30,Acima de 20 salários mínimos,Veículos,6729378542.69,436212.0,10390222028.354975
305,2015-04-30,Acima de 20 salários mínimos,Rural e agroindustrial,57693440435.64,851431.0,89079199795.8179
304,2015-04-30,Acima de 20 salários mínimos,Outros créditos,11684583587.86,1159466.0,18041103946.904346
303,2015-04-30,Acima de 20 salários mínimos,Habitacional,67912882917.81,279702.0,104858112472.84262
302,2015-04-30,Acima de 20 salários mínimos,Empréstimo sem consignação em folha,9171459821.369999,798026.0,14160817862.1021
315,2015-04-30,Indisponível,Habitacional,308670318.48,5476.0,476589795.3614325
329,2015-04-30,Mais de 1 a 2 salários mínimos,Outros créditos,3226156964.13,8032020.0,4981215864.583369
301,2015-04-30,Acima de 20 salários mínimos,Empréstimo com consignação em folha,15794907476.23,664126.0,24387481630.621914
331,2015-04-30,Mais de 1 a 2 salários mínimos,Veículos,10462725820.06,2350098.0,16154544376.213684
359,2015-04-30,Sem rendimento,Veículos,9501890812.43,1378867.0,14671006334.9875
358,2015-04-30,Sem rendimento,Rural e agroindustrial,2392741024.52,66881.0,3694414029.9734693
357,2015-04-30,Sem rendimento,Outros créditos,586728019.47,473421.0,905913429.282784
356,2015-04-30,Sem rendimento,Habitacional,792338048.83,5118.0,1223377195.4767137
355,2015-04-30,Sem rendimento,Empréstimo sem consignação em folha,187605639.72,282745.0,289664823.8907322
354,2015-04-30,Sem rendimento,Empréstimo com consignação em folha,3524342317.6,1924855.0,5441616778.055882
353,2015-04-30,Sem rendimento,Cartão de crédito,65828255.25,4366217.0,101639428.28416277
352,2015-04-30,Mais de 5 a 10 salários mínimos,Veículos,18314296864.170002,2195098.0,28277441892.259087
351,2015-04-30,Mais de 5 a 10 salários mínimos,Rural e agroindustrial,11546620764.52,643950.0,17828088085.622707
350,2015-04-30,Mais de 5 a 10 salários mínimos,Outros créditos,6793218938.91,4782824.0,10488792184.112448
349,2015-04-30,Mais de 5 a 10 salários mínimos,Habitacional,80222767797.41,825871.0,123864687334.27196
348,2015-04-30,Mais de 5 a 10 salários mínimos,Empréstimo sem consignação em folha,9466074631.37,4445649.0,14615705823.79462
347,2015-04-30,Mais de 5 a 10 salários mínimos,Empréstimo com consignação em folha,38443784996.42,5252772.0,59357555707.28731
346,2015-04-30,Mais de 5 a 10 salários mínimos,Cartão de crédito,390851029.27,20258618.0,603477564.5869691
345,2015-04-30,Mais de 3 a 5 salários mínimos,Veículos,17402500667.53,2681309.0,26869620223.794556
344,2015-04-30,Mais de 3 a 5 salários mínimos,Rural e agroindustrial,7310036986.7699995,512046.0,11286763977.712849
343,2015-04-30,Mais de 3 a 5 salários mínimos,Outros créditos,4394087729.25,5070467.0,6784511649.827223
342,2015-04-30,Mais de 3 a 5 salários mínimos,Habitacional,56723502748.630005,833232.0,87581607134.36028
341,2015-04-30,Mais de 3 a 5 salários mínimos,Empréstimo sem consignação em folha,5175687916.6,4355285.0,7991309488.951913
340,2015-04-30,Mais de 3 a 5 salários mínimos,Empréstimo com consignação em folha,28146692115.38,5992993.0,43458750104.08354
339,2015-04-30,Mais de 3 a 5 salários mínimos,Cartão de crédito,287274416.75,19269868.0,443554327.3666867
338,2015-04-30,Mais de 2 a 3 salários mínimos,Veículos,11072615261.050001,2186028.0,17096219252.19745
337,2015-04-30,Mais de 2 a 3 salários mínimos,Rural e agroindustrial,4555203442.96,384923.0,7033275785.636203
336,2015-04-30,Mais de 2 a 3 salários mínimos,Outros créditos,3312905488.58,5572940.0,5115156379.885006
335,2015-04-30,Mais de 2 a 3 salários mínimos,Habitacional,59010694077.88,1016368.0,91113051469.29825
333,2015-04-30,Mais de 2 a 3 salários mínimos,Empréstimo com consignação em folha,17998595238.57,5576702.0,27789995694.383972
332,2015-04-30,Mais de 2 a 3 salários mínimos,Cartão de crédito,193118158.85999998,19475272.0,298176203.86985
330,2015-04-30,Mais de 1 a 2 salários mínimos,Rural e agroindustrial,4227738063.15,429342.0,6527666243.649374
300,2015-04-30,Acima de 20 salários mínimos,Cartão de crédito,197903062.67,6433469.0,305564139.1234296
334,2015-04-30,Mais de 2 a 3 salários mínimos,Empréstimo sem consignação em folha,2948377446.17,3981001.0,4552321747.805077
240,2015-05-31,Acima de 20 salários mínimos,Cartão de crédito,187979571.2,6346600.0,288195873.729581
272,2015-05-31,Mais de 2 a 3 salários mínimos,Cartão de crédito,191057615.51,20133608.0,292914895.39579713
273,2015-05-31,Mais de 2 a 3 salários mínimos,Empréstimo com consignação em folha,18356163745.27,5722304.0,28142263625.353703
274,2015-05-31,Mais de 2 a 3 salários mínimos,Empréstimo sem consignação em folha,3041424662.81,4100938.0,4662879229.300127
275,2015-05-31,Mais de 2 a 3 salários mínimos,Habitacional,60145934291.11,1031405.0,92211137485.07378
